NCBI GeneID	Symbol	Description	Gene Type	Gene Group Identifier	Gene Group Method	Annotation Genomic Range Accession 	Annotation Genomic Range Start	Annotation Genomic Range Stop
100315687	Mir375	microRNA mir-375	ncRNA			NC_037640.1	6120162	6120261
100315688	Mir87-2	microRNA mir-87-2	ncRNA			NC_037650.1	9610356	9610455
100315689	Mir190	microRNA mir-190	ncRNA			NC_037650.1	10414392	10414491
100328599	Dnmt1a	DNA methyltransferase 1a	PROTEIN_CODING			NC_037647.1	12033925	12039796
100498677	Mir1-2	microRNA mir-1-2	ncRNA					
411184	TpnT	troponin T, skeletal muscle	PROTEIN_CODING	32314	NCBI Ortholog	NC_037643.1	2064267	2079739
411770	CTL5	C-type lectin 5	PROTEIN_CODING	34027	NCBI Ortholog	NC_037645.1	2141593	2147453
494505	Mb-62	mushroom body preferential gene 62	PROTEIN_CODING					
494526	Mb-113	mushroom body preferential gene 113	PROTEIN_CODING					
732506	Mir2-2	microRNA mir-2-2	ncRNA			NC_037638.1	138173	138256
732512	Mir9a	microRNA mir-9a	ncRNA			NC_037638.1	20117470	20117556
768250	Lop2	long wavelength sensitive opsin 2	PROTEIN_CODING			NC_037652.1	7417495	7419329
100315683	Mir1006	microRNA mir-1006	ncRNA			NC_037643.1	2954518	2954579
100315685	Mir993	microRNA mir-993	ncRNA			NC_037653.1	4312514	4312602
100315691	Mir92b-2	microRNA mir-92b-2	ncRNA					
100628996	Mir3717	microRNA mir-3717	ncRNA			NC_037640.1	6415288	6415375
100629008	Mir3761	microRNA mir-3761	ncRNA					
100629032	Mir306	microRNA mir-306	ncRNA			NC_037652.1	7426701	7426827
100629082	Mir318	microRNA mir-318	ncRNA			NC_037652.1	1859124	1859241
100629086	Mir3739	microRNA mir-3739	ncRNA			NC_037643.1	14060120	14060227
100629103	Mir3780	microRNA mir-3780	ncRNA			NC_037649.1	10287322	10287435
100629105	Mir3789	microRNA mir-3789	ncRNA			NC_037651.1	9796502	9796599
406109	Obp6	odorant binding protein 6	PROTEIN_CODING			NC_037646.1	11946731	11971739
409716	apd-3	apidermin 3	PROTEIN_CODING			NC_037641.1	4454035	4457102
410068	Obp10	odorant binding protein 10	PROTEIN_CODING			NC_037647.1	10095751	10097917
551719	Obp16	odorant binding protein 16	PROTEIN_CODING			NC_037652.1	1934983	1936988
551935	Obp21	odorant binding protein 21	PROTEIN_CODING			NC_037652.1	1959554	1961654
552478	Obp17	odorant binding protein 17	PROTEIN_CODING			NC_037652.1	1939170	1941470
677668	Obp7	odorant binding protein 7	PROTEIN_CODING			NC_037646.1	11977169	11978641
677674	Obp13	odorant binding protein 13	PROTEIN_CODING			NC_037652.1	1917639	1919322
677675	Obp9	odorant binding protein 9	PROTEIN_CODING			NC_037652.1	6325010	6335391
677676	Obp11	odorant binding protein 11	PROTEIN_CODING			NC_037647.1	10093970	10094816
677678	Obp12	odorant binding protein 12	PROTEIN_CODING			NC_037649.1	6997861	6998979
724153	Y-h	yellow-h	PROTEIN_CODING			NC_037648.1	2327583	2341854
724358	LOC724358	neuroligin 1	PROTEIN_CODING			NC_037646.1	9096466	9168877
732503	Mir281	microRNA mir-281	ncRNA			NC_037638.1	20557512	20557614
100302584	Imd	immune deficiency	PROTEIN_CODING	44339	NCBI Ortholog	NC_037642.1	13679797	13682785
409354	Hex70c	hexamerin 70c	PROTEIN_CODING			NC_037645.1	11864211	11868236
411659	TpnCI	troponin C type I	PROTEIN_CODING			NC_037648.1	14303381	14309559
411899	B-gluc1	beta-1,3-glucan recognition protein 1	PROTEIN_CODING			NC_037646.1	7483034	7488078
494501	TpnCIIb	troponin C type IIb	PROTEIN_CODING			NC_037650.1	3251964	3255189
494503	TpnCIIa	troponin C type IIa	PROTEIN_CODING	33752	NCBI Ortholog	NC_037648.1	13515170	13517399
685996	Su(var)3-9	suppressor of variegation 3-9	PROTEIN_CODING			NC_037653.1	4840825	4849275
727472	PGRP-S3	peptidoglycan recognition protein S3	PROTEIN_CODING			NC_037645.1	12354564	12356480
732511	Mir8	microRNA mir-8	ncRNA			NC_037648.1	14231874	14231958
100192201	Fibroin3	silk fibroin 3	PROTEIN_CODING			NC_037649.1	3902030	3903037
408658	CSP2	chemosensory protein 2	PROTEIN_CODING			NC_037639.1	15497768	15502009
413565	CSP4	chemosensory protein 4	PROTEIN_CODING			NC_037642.1	2788845	2791998
725103	CSP6	chemosensory protein 6	PROTEIN_CODING			NC_037638.1	25099624	25101768
725382	CSP1	chemosensory protein 1	PROTEIN_CODING			NC_037645.1	6453930	6454392
100577393	LOC100577393	epidermal growth factor receptor-like	PROTEIN_CODING	37455	NCBI Ortholog	NC_037643.1	3804323	3960476
104794315	Mir6002	microRNA mir-6002	ncRNA			NC_037653.1	3645046	3645125
104794316	Mir6003	microRNA mir-6003	ncRNA			NC_037639.1	7994861	7994930
406108	Tspan6	tetraspanin 6	PROTEIN_CODING			NC_037649.1	7357756	7366851
408404	mRpL16	mitochondrial ribosomal protein L16	PROTEIN_CODING					
411453	Calpb	calpain-B	PROTEIN_CODING	37232	NCBI Ortholog	NC_037639.1	4719226	4731784
412304	DHRS4	dehydrogenase/reductase (SDR family) member 4	PROTEIN_CODING	38598	NCBI Ortholog	NC_037647.1	6005422	6009075
551975	Tpx-4	thioredoxin peroxidase 4	PROTEIN_CODING			NC_037646.1	2864435	2869887
552122	Metrn	meteorin	PROTEIN_CODING			NC_037651.1	10630610	10634406
552350	CPR5	cuticular protein 5	PROTEIN_CODING			NC_037653.1	726163	732625
725932	Cpap3-c	cuticular protein analogous to peritrophins 3-C	PROTEIN_CODING	40745	NCBI Ortholog	NC_037640.1	12258005	12264713
726526	NPF	neuropeptide F	PROTEIN_CODING			NC_037650.1	4430259	4433365
726970	Amel_8916	cys-loop ligand-gated ion channel subunit 8916	PROTEIN_CODING	32553	NCBI Ortholog	NC_037646.1	1342582	1364708
100315678	Mir996	microRNA mir-996	ncRNA			NC_037642.1	11450180	11450270
100315679	Mir263b	microRNA mir-263b	ncRNA			NC_037641.1	7000817	7000907
100315692	Mir981	microRNA mir-981	ncRNA			NC_037639.1	11209287	11209380
104794336	Mir6040	microRNA mir-6040	ncRNA			NC_037648.1	13616370	13616448
104794338	Mir6041	microRNA mir-6041	ncRNA			NC_037639.1	2895709	2895779
104794345	Mir6049	microRNA mir-6049	ncRNA			NC_037640.1	7173439	7173519
104794347	Mir6053	microRNA mir-6053	ncRNA			NC_037638.1	24550263	24550350
104794349	Mir6057	microRNA mir-6057	ncRNA			NC_037652.1	6567710	6567784
104796157	Mir3718c	microRNA mir-3718c	ncRNA			NC_037640.1	7763002	7763091
104796173	Mir2b	microRNA mir-2b	ncRNA			NC_037638.1	139122	139199
104796348	Mir6000b	microRNA mir-6000b	ncRNA			NC_037648.1	13615783	13615863
104796349	Mir6052	microRNA mir-6052	ncRNA			NC_037643.1	13180417	13180501
104796350	Mir6064	microRNA mir-6064	ncRNA			NC_037642.1	9136835	9136919
104796632	Mir9883	microRNA mir-9883	ncRNA			NC_037645.1	843991	844066
104796781	Mir6042	microRNA mir-6042	ncRNA			NC_037640.1	11881243	11881321
104796782	Mir6012	microRNA mir-6012	ncRNA			NC_037641.1	4375470	4375554
104796783	Mir6050	microRNA mir-6050	ncRNA					
104796785	Mir6063	microRNA mir-6063	ncRNA			NC_037641.1	4440257	4440340
104796786	Mir6067	microRNA mir-6067	ncRNA			NC_037648.1	10534722	10534799
104797381	Mir279d	microRNA mir-279d	ncRNA			NC_037646.1	7516135	7516216
104797395	Mir6056	microRNA mir-6056	ncRNA			NC_037650.1	6053277	6053354
409042	Crzr	corazonin receptor	PROTEIN_CODING	39409	NCBI Ortholog	NC_037638.1	10198903	10212094
410815	TpnI	troponin I	PROTEIN_CODING	32794	NCBI Ortholog	NC_037639.1	14369041	14397205
677664	Obp15	odorant binding protein 15	PROTEIN_CODING			NC_037652.1	1932182	1933998
677665	Obp19	odorant binding protein 19	PROTEIN_CODING			NC_037652.1	1948873	1956169
677671	Obp3	odorant binding protein 3	PROTEIN_CODING			NC_037646.1	11979053	11981270
677672	Obp20	odorant binding protein 20	PROTEIN_CODING					
677677	Obp18	odorant binding protein 18	PROTEIN_CODING			NC_037652.1	1943576	1945860
100577786	Or30	odorant receptor 30	PROTEIN_CODING			NC_037639.1	10057004	10063608
100628993	Mir11	microRNA mir-11	ncRNA			NC_037646.1	6850818	6850925
100628994	Mir307	microRNA mir-307	ncRNA			NC_037638.1	5547003	5547135
100628995	Mir2788	microRNA mir-2788	ncRNA			NC_037638.1	1173496	1173602
100629001	Mir3751	microRNA mir-3751	ncRNA			NC_037646.1	9695847	9695983
100629004	Mir3756	microRNA mir-3756	ncRNA			NC_037651.1	952325	952460
100629006	Mir3719	microRNA mir-3719	ncRNA			NC_037640.1	8522550	8522685
100629007	Mir3760	microRNA mir-3760	ncRNA			NC_037653.1	1817535	1817668
100629009	Mir3764	microRNA mir-3764	ncRNA			NC_037648.1	14703392	14703512
100629013	Mir971	microRNA mir-971	ncRNA			NC_037647.1	3859778	3859904
100629018	Mir3777	microRNA mir-3777	ncRNA			NC_037649.1	4375072	4375196
100629019	Mir3778	microRNA mir-3778	ncRNA					
100629021	Mir3782	microRNA mir-3782	ncRNA			NC_037650.1	3327229	3327363
100629022	Mir3783	microRNA mir-3783	ncRNA			NC_037650.1	6405509	6405626
100629023	Mir3716b	microRNA mir-3716b	ncRNA					
100629029	Mir3792	microRNA mir-3792	ncRNA			NC_037647.1	9453812	9453948
100629030	Mir3793	microRNA mir-3793	ncRNA			NC_037647.1	1220185	1220265
100629031	Mir3794	microRNA mir-3794	ncRNA			NC_037652.1	6677755	6677847
100629033	Mir3797	microRNA mir-3797	ncRNA			NC_037653.1	3228923	3229060
100629034	Mir3477	microRNA mir-3477	ncRNA			NC_037639.1	4841409	4841507
100629035	Mir3798	microRNA mir-3798	ncRNA			NC_037639.1	6893624	6893716
100629036	Mir279c	microRNA mir-279c	ncRNA			NC_037639.1	9533228	9533314
100629040	Mir3725	microRNA mir-3725	ncRNA					
100629041	Mir3728	microRNA mir-3728	ncRNA			NC_037641.1	13137701	13137819
100629043	Mir3715	microRNA mir-3715	ncRNA			NC_037639.1	15520592	15520687
100629048	Mir3736	microRNA mir-3736	ncRNA			NC_037643.1	11506366	11506472
100629051	Mir3741	microRNA mir-3741	ncRNA			NC_037644.1	10099563	10099697
100629061	Mir989	microRNA mir-989	ncRNA			NC_037639.1	14939920	14940012
100629064	Mir3757	microRNA mir-3757	ncRNA			NC_037639.1	1610916	1611044
100629068	Mir3776	microRNA mir-3776	ncRNA			NC_037649.1	4171941	4172037
100629076	Mir1175	microRNA mir-1175	ncRNA			NW_020555859.1	228877	229013
100629078	Mir3759	microRNA mir-3759	ncRNA			NC_037642.1	351640	351731
100629094	Mir193	microRNA mir-193	ncRNA			NC_037638.1	1179500	1179618
100629095	Mir3745	microRNA mir-3745	ncRNA			NC_037645.1	9546391	9546505
100629101	Mir3721	microRNA mir-3721	ncRNA			NC_037640.1	8727161	8727265
100629109	Mir3799	microRNA mir-3799	ncRNA			NC_037647.1	1711992	1712074
100629120	Mir750	microRNA mir-750	ncRNA			NW_020555859.1	229034	229169
413894	Y-e3	yellow-e3	PROTEIN_CODING			NC_037648.1	2259179	2265574
406075	Ant	ADP/ATP translocase	PROTEIN_CODING	32007	NCBI Ortholog	NC_037644.1	10937513	10940303
406076	Vha16	vacuolar H+ ATP synthase 16 kDa proteolipid subunit	PROTEIN_CODING			NC_037643.1	12976739	12979704
406107	Gfat2	glucosamine-fructose-6-phosphate aminotransferase 2	PROTEIN_CODING	3354921	NCBI Ortholog	NC_037641.1	5371172	5386234
406132	LOC406132	histone H4	PROTEIN_CODING			NC_037638.1	15189245	15189759
408399	arm	armadillo segment polarity protein	PROTEIN_CODING	31151	NCBI Ortholog	NC_037650.1	2776546	2783951
408485	Reck	reversion-inducing-cysteine-rich protein with kazal motifs	PROTEIN_CODING	39629	NCBI Ortholog	NC_037651.1	9410152	9423385
408606	Prpf3	PRP3 pre-mRNA processing factor 3 homolog	PROTEIN_CODING	40172	NCBI Ortholog	NC_037638.1	26832002	26835061
409356	Smb	small ribonucleoprotein particle protein B	PROTEIN_CODING	34426	NCBI Ortholog	NC_037643.1	16462280	16463544
409940	Rfwd3	ring finger and WD repeat domain 3	PROTEIN_CODING			NC_037638.1	23613	26208
410692	vas	ATP-dependent RNA helicase vasa	PROTEIN_CODING	26067080	NCBI Ortholog	NC_037638.1	27486659	27490304
410767	Nedd9	neural precursor cell expressed, developmentally down-regulated gene 9	PROTEIN_CODING	38021	NCBI Ortholog	NC_037638.1	880427	997306
411202	LOC411202	1,5-anhydro-D-fructose reductase	PROTEIN_CODING			NC_037641.1	10513758	10515610
411323	5-HT2alpha	serotonin receptor	PROTEIN_CODING	40575	NCBI Ortholog	NC_037646.1	8766576	8797600
411767	Wtrw	water witch	PROTEIN_CODING					
412509	INTS8	integrator complex subunit 8	PROTEIN_CODING	36886	NCBI Ortholog	NC_037641.1	11259051	11263199
413609	Tpcn1	two pore segment channel 1	PROTEIN_CODING			NC_037638.1	2100405	2105633
551971	Ube2g1	ubiquitin-conjugating enzyme E2G 1 (UBC7 homolog, yeast)	PROTEIN_CODING	3355079	NCBI Ortholog	NC_037640.1	13067586	13070844
552249	LOC552249	lysosomal alpha-mannosidase	PROTEIN_CODING	34437	NCBI Ortholog	NC_037641.1	10203630	10210650
552304	GstS1	glutathione S-transferase S1	PROTEIN_CODING			NC_037641.1	1918073	1921443
552378	MARCH6	membrane-associated ring finger (C3HC4) 6	PROTEIN_CODING	38300	NCBI Ortholog	NC_037651.1	10437050	10441484
552415	CUTA	cutA divalent cation tolerance homolog	PROTEIN_CODING	32368	NCBI Ortholog	NC_037651.1	5069700	5071257
552826	Rga	regulator of gene activity protein	PROTEIN_CODING	40683	NCBI Ortholog	NC_037648.1	6611286	6615358
724191	RpL35	ribosomal protein L35	PROTEIN_CODING	31483	NCBI Ortholog	NC_037645.1	2140482	2142333
724216	LOC724216	juvenile hormone acid O-methyltransferase	PROTEIN_CODING	34977	NCBI Ortholog	NC_037641.1	11486247	11487860
724534	Slc35b1	solute carrier family 35, member B1	PROTEIN_CODING	42510	NCBI Ortholog	NC_037638.1	14058518	14061060
724694	CPR22	cuticular protein 22	PROTEIN_CODING			NC_037639.1	2974464	2977178
724805	UHRF1	ubiquitin-like with PHD and ring finger domains 1	PROTEIN_CODING			NC_037651.1	5070752	5074431
724978	Nipped-B	nipped-B protein	PROTEIN_CODING	3355136	NCBI Ortholog	NC_037644.1	1814761	1824191
725168	Rps14	ribosomal protein S14	PROTEIN_CODING			NC_037641.1	5135231	5136489
725259	Eif4g	eukaryotic translation initiation factor 4 gamma	PROTEIN_CODING			NC_037643.1	16282574	16323736
725297	Gr10	gustatory receptor 10	PROTEIN_CODING			NC_037641.1	10523031	10536471
726003	Rep	Rab escort protein	PROTEIN_CODING	37246	NCBI Ortholog	NC_037646.1	1259059	1269549
726035	Ndufs1	NADH dehydrogenase (ubiquinone) Fe-S protein 1, 75kDa (NADH-coenzyme Q reductase)	PROTEIN_CODING	31762	NCBI Ortholog	NC_037640.1	455459	459529
726117	Tpi	triosephosphate isomerase	PROTEIN_CODING	43582	NCBI Ortholog	NC_037653.1	1223674	1226006
726691	CPF2	cuticular protein CPF2	PROTEIN_CODING			NC_037652.1	7840678	7842089
726775	PIH1D1	PIH1 domain containing 1	PROTEIN_CODING			NC_037641.1	12364264	12365898
727061	Ndufs5	NADH dehydrogenase (ubiquinone) Fe-S protein 5, 15kDa (NADH-coenzyme Q reductase)	PROTEIN_CODING	33179	NCBI Ortholog	NC_037642.1	13858451	13859322
727422	egh	beta-1,4-mannosyltransferase egh	PROTEIN_CODING	31239	NCBI Ortholog	NC_037638.1	2223306	2226752
727512	Chmp1	chromatin modifying protein 1	PROTEIN_CODING	40036	NCBI Ortholog	NC_037642.1	550730	552604
751767	LOC751767	chemosensory protein 5	PROTEIN_CODING			NC_037638.1	25103208	25105701
100628997	Mir3746	microRNA mir-3746	ncRNA					
100628999	Mir3749	microRNA mir-3749	ncRNA			NC_037646.1	3605850	3605938
100629003	Mir3718b	microRNA mir-3718b	ncRNA			NC_037640.1	7762799	7762909
100629010	Mir3720	microRNA mir-3720	ncRNA			NC_037640.1	8618183	8618322
100629012	Mir3769	microRNA mir-3769	ncRNA			NC_037638.1	7234585	7234690
100629014	Mir3770	microRNA mir-3770	ncRNA			NC_037638.1	11759935	11760027
100629016	Mir3722	microRNA mir-3722	ncRNA			NC_037640.1	8906904	8907025
100629017	Mir3774	microRNA mir-3774	ncRNA			NC_037649.1	1420241	1420369
100629027	Mir3791	microRNA mir-3791	ncRNA			NC_037652.1	1859778	1859870
100629028	Mir9c	microRNA mir-9c	ncRNA			NC_037652.1	1859470	1859608
100629037	Mir3801	microRNA mir-3801	ncRNA			NC_037639.1	12427154	12427293
100629045	Mir3732	microRNA mir-3732	ncRNA					
100629046	Mir3733	microRNA mir-3733	ncRNA			NC_037648.1	3425459	3425561
100629047	Mir3735	microRNA mir-3735	ncRNA			NC_037643.1	10159199	10159293
100629049	Mir3737	microRNA mir-3737	ncRNA					
100629067	Mir3771	microRNA mir-3771	ncRNA			NC_037638.1	17151344	17151412
100629071	Mir279b	microRNA mir-279b	ncRNA			NC_037652.1	1859635	1859761
100629077	Mir3747b	microRNA mir-3747b	ncRNA			NC_037645.1	12268086	12268186
100629081	Mir3787	microRNA mir-3787	ncRNA			NC_037651.1	6117801	6117938
100629083	Mir3795	microRNA mir-3795	ncRNA			NC_037653.1	1946677	1946758
100629084	Mir3727	microRNA mir-3727	ncRNA			NC_037641.1	12894313	12894378
100629096	Mir3750	microRNA mir-3750	ncRNA			NC_037646.1	4083589	4083714
100629106	Mir2944	microRNA mir-2944	ncRNA			NC_037652.1	1859282	1859406
100629110	Mir3723	microRNA mir-3723	ncRNA			NC_037641.1	5981223	5981331
100629111	Mir3726	microRNA mir-3726	ncRNA			NC_037641.1	10646833	10646961
100629113	Mir3734	microRNA mir-3734	ncRNA			NC_037643.1	6126181	6126253
100629115	Mir3743	microRNA mir-3743	ncRNA			NC_037645.1	4702639	4702720
100315677	Mir252a	microRNA mir-252a	ncRNA			NC_037652.1	6561679	6561778
100315681	Mir985	microRNA mir-985	ncRNA			NC_037643.1	14947655	14947739
100315682	Mir1000	microRNA mir-1000	ncRNA			NC_037644.1	3202959	3203049
100328592	Obp8	odorant binding protein 8	PROTEIN_CODING					
726634	DLC-B	dynein light chain B	PROTEIN_CODING					
100216489	Eth	ecdysis triggering hormone	PROTEIN_CODING			NC_037650.1	6421600	6423296
100577446	Or27	odorant receptor 27	PROTEIN_CODING			NC_037639.1	10051858	10053414
100577482	Or25	odorant receptor 25	PROTEIN_CODING			NC_037639.1	10046322	10048692
100577867	Or12	odorant receptor 12	PROTEIN_CODING			NC_037639.1	10013251	10014901
100577902	Or11	odorant receptor 11	PROTEIN_CODING			NC_037639.1	10008722	10010579
100577979	Or9	odorant receptor 9	PROTEIN_CODING			NC_037639.1	10000277	10002223
100578013	Or13	odorant receptor 13	PROTEIN_CODING			NC_037639.1	10015224	10017204
100578047	Or10	odorant receptor 10	PROTEIN_CODING			NC_037639.1	10004087	10005752
100578083	Or14	odorant receptor 14	PROTEIN_CODING			NC_037639.1	10017779	10019530
100578142	Or19	odorant receptor 19	PROTEIN_CODING			NC_037639.1	10031932	10033502
100578210	Or5	odorant receptor 5	PROTEIN_CODING			NC_037639.1	9986998	9988716
100578402	Or4	odorant receptor 4	PROTEIN_CODING			NC_037639.1	9982958	9984808
100642168	Or26	odorant receptor 26	PROTEIN_CODING			NC_037639.1	10049035	10051106
100191002	Rpl41	ribosomal protein L41	PROTEIN_CODING	251466	NCBI Ortholog	NC_037648.1	12183567	12184247
100359410	Cox6c	cytochrome c oxidase subunit VIc	PROTEIN_CODING	46040	NCBI Ortholog	NC_037643.1	1851373	1852552
104794339	Mir6043	microRNA mir-6043	ncRNA			NC_037640.1	4702175	4702248
104794342	Mir6046	microRNA mir-6046	ncRNA			NC_037647.1	8718790	8718871
104794346	Mir6051	microRNA mir-6051	ncRNA			NC_037646.1	3421818	3421893
104794348	Mir6054	microRNA mir-6054	ncRNA			NC_037641.1	9465296	9465384
104794350	Mir6058	microRNA mir-6058	ncRNA			NC_037644.1	3758281	3758357
104794351	Mir6059	microRNA mir-6059	ncRNA			NC_037640.1	1466377	1466442
104794352	Mir6060	microRNA mir-6060	ncRNA			NC_037639.1	14063559	14063629
104794353	Mir6061	microRNA mir-6061	ncRNA			NC_037644.1	5177544	5177622
104794354	Mir6062	microRNA mir-6062	ncRNA			NC_037640.1	9115038	9115117
104794355	Mir6047b	microRNA mir-6047b	ncRNA			NC_037640.1	301753	301825
104794356	Mir6065	microRNA mir-6065	ncRNA			NC_037638.1	9301872	9301947
104794357	Mir6066	microRNA mir-6066	ncRNA			NC_037650.1	7148947	7149024
104796158	Mir9865	microRNA mir-9865	ncRNA			NC_037648.1	1463541	1463634
104796159	Mir9866	microRNA mir-9866	ncRNA			NC_037642.1	6414963	6415047
104796160	Mir9869	microRNA mir-9869	ncRNA			NC_037642.1	9073764	9073846
104796161	Mir9870	microRNA mir-9870	ncRNA			NC_037644.1	2699135	2699211
104796162	Mir9871	microRNA mir-9871	ncRNA			NC_037638.1	25056231	25056308
104796163	Mir9873	microRNA mir-9873	ncRNA			NC_037647.1	2658955	2659036
104796164	Mir9874	microRNA mir-9874	ncRNA			NC_037641.1	13201084	13201177
104796165	Mir9875	microRNA mir-9875	ncRNA			NC_037640.1	5954606	5954686
104796166	Mir9878	microRNA mir-9878	ncRNA			NC_037651.1	9201266	9201347
104796167	Mir9879	microRNA mir-9879	ncRNA			NC_037643.1	16891863	16891943
104796168	Mir9880	microRNA mir-9880	ncRNA			NC_037638.1	19938363	19938456
104796169	Mir9882	microRNA mir-9882	ncRNA			NC_037652.1	5647815	5647889
104796170	Mir9884	microRNA mir-9884	ncRNA			NC_037643.1	8118459	8118543
104796171	Mir9885	microRNA mir-9885	ncRNA			NC_037646.1	10813454	10813534
104796172	Mir9887	microRNA mir-9887	ncRNA			NC_037650.1	4268949	4269036
104796174	Mir9888	microRNA mir-9888	ncRNA			NC_037642.1	6679613	6679691
104796175	Mir9889	microRNA mir-9889	ncRNA			NC_037646.1	10157778	10157850
104796176	Mir9892	microRNA mir-9892	ncRNA			NC_037641.1	4674014	4674094
104796177	Mir9893	microRNA mir-9893	ncRNA					
104796178	Mir9894	microRNA mir-9894	ncRNA			NC_037651.1	9735081	9735166
104796179	Mir9896	microRNA mir-9896	ncRNA			NC_037645.1	8523651	8523739
104796199	Mir6038	microRNA mir-6038	ncRNA			NC_037639.1	14410137	14410211
104796630	Mir9868	microRNA mir-9868	ncRNA			NC_037640.1	6836772	6836857
104796631	Mir9876	microRNA mir-9876	ncRNA			NC_037642.1	5346337	5346430
104796633	Mir9890	microRNA mir-9890	ncRNA			NC_037641.1	6485331	6485406
104796634	Mir3478	microRNA mir-3478	ncRNA			NC_037652.1	1859783	1859860
104796784	Mir6055	microRNA mir-6055	ncRNA			NC_037640.1	12599705	12599782
104797380	Mir9864	microRNA mir-9864	ncRNA			NC_037639.1	6044313	6044403
104797382	Mir9867	microRNA mir-9867	ncRNA			NC_037649.1	11323027	11323101
104797383	Mir9872	microRNA mir-9872	ncRNA			NC_037653.1	750953	751047
104797384	Mir9877	microRNA mir-9877	ncRNA			NC_037641.1	2688016	2688088
104797385	Mir9881	microRNA mir-9881	ncRNA			NC_037640.1	2879242	2879321
104797386	Mir9886	microRNA mir-9886	ncRNA			NC_037640.1	7134690	7134770
104797387	Mir9891	microRNA mir-9891	ncRNA			NC_037649.1	2332811	2332885
104797388	Mir9895	microRNA mir-9895	ncRNA			NC_037648.1	15979749	15979818
406097	LOC406097	integrin beta-PS	PROTEIN_CODING	44885	NCBI Ortholog	NC_037648.1	10612417	10617543
